date,total_hours,sessions,avg_session_min,unique_channels,unique_games,lol_hours,esports_hours,is_active,rolling_7d,rolling_30d,trend_signal,is_binge,lol_share_day,cumulative_hours,year,month
2017-10-10,0.1168,5.0,1.4,4.0,3.0,0.0167,0.0334,True,0.117,0.117,4.286,False,0.143,0.117,2017,10
2017-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.117,0.117,4.286,False,,0.117,2017,10
2017-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.117,0.117,4.286,False,,0.117,2017,10
2017-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.117,0.117,4.286,False,,0.117,2017,10
2017-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.117,0.117,4.286,False,,0.117,2017,10
2017-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.117,0.117,4.286,False,,0.117,2017,10
2017-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.117,0.117,4.286,False,,0.117,2017,10
2017-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.117,0.0,False,,0.117,2017,10
2017-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.117,0.0,False,,0.117,2017,10
2017-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.117,0.0,False,,0.117,2017,10
2017-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.117,0.0,False,,0.117,2017,10
2017-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.117,0.0,False,,0.117,2017,10
2017-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.117,0.0,False,,0.117,2017,10
2017-10-23,0.0167,1.0,1.0,1.0,1.0,0.0,0.0,True,0.017,0.134,0.544,False,0.0,0.134,2017,10
2017-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.017,0.134,0.544,False,,0.134,2017,10
2017-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.017,0.134,0.544,False,,0.134,2017,10
2017-10-26,0.2667,4.0,4.0,2.0,2.0,0.25,0.25,True,0.283,0.4,3.032,False,0.937,0.4,2017,10
2017-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.283,0.4,3.032,False,,0.4,2017,10
2017-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.283,0.4,3.032,False,,0.4,2017,10
2017-10-29,0.0167,1.0,1.0,1.0,1.0,0.0167,0.0167,True,0.3,0.417,3.083,False,1.0,0.417,2017,10
2017-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.283,0.417,2.909,False,,0.417,2017,10
2017-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.283,0.417,2.909,False,,0.417,2017,10
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.283,0.417,2.909,False,,0.417,2017,11
2017-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.017,0.417,0.175,False,,0.417,2017,11
2017-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.017,0.417,0.175,False,,0.417,2017,11
2017-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.017,0.417,0.175,False,,0.417,2017,11
2017-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.417,0.0,False,,0.417,2017,11
2017-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.417,0.0,False,,0.417,2017,11
2017-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.417,0.0,False,,0.417,2017,11
2017-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.417,0.0,False,,0.417,2017,11
2017-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.3,0.0,False,,0.417,2017,11
2017-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.283,0.0,False,,0.417,2017,11
2017-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.283,0.0,False,,0.417,2017,11
2017-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.283,0.0,False,,0.417,2017,11
2017-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.017,0.0,False,,0.417,2017,11
2017-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.017,0.0,False,,0.417,2017,11
